Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
155,Mali,"27,149",,677,,"21,412","5,060",,"1,284",32,"562,872","26,624","21,141,392",Africa,779,"31,228",38,,,239
156,Haiti,"26,807",,780,,"23,777","2,250",,"2,308",67,"132,422","11,401","11,615,076",North America,433,"14,891",88,,,194
157,Benin,"26,036",,162,,"25,033",841,5,"2,065",13,"604,310","47,930","12,608,136",Africa,484,"77,828",21,,,67
158,Mauritius,"24,498",+73,762,,"22,558","1,178",,"19,214",598,"358,675","281,314","1,274,997",Africa,52,"1,673",4,57,,924
159,Somalia,"24,261",,"1,335",,"13,182","9,744",,"1,464",81,"400,466","24,168","16,570,273",Africa,683,"12,412",41,,,588
160,Congo,"22,418",,370,,"18,925","3,123",,"3,915",65,"323,840","56,561","5,725,540",Africa,255,"15,474",18,,,545
161,Burkina Faso,"19,886",,339,,"18,139","1,408",,913,16,"241,537","11,091","21,778,525",Africa,"1,095","64,243",90,,,65
162,Timor-Leste,"19,860",,122,,"19,714",24,,"14,637",90,"226,374","166,842","1,356,820",Asia,68,"11,121",6,,,18
163,Taiwan,"17,624",+65,851,+1,"16,023",750,,738,36,"9,667,586","404,794","23,882,730",Asia,"1,355","28,064",2,3,0.04,31
164,Nicaragua,"17,563",,214,,"4,225","13,124",,"2,604",32,,,"6,745,073",North America,384,"31,519",,,,"1,946"
165,Tajikistan,"17,095",,124,,"16,966",5,,"1,733",13,,,"9,864,913",Asia,577,"79,556",,,,0.5
166,South Sudan,"16,337",,136,,"12,934","3,267",1,"1,434",12,"307,957","27,027","11,394,404",Africa,697,"83,782",37,,,287
167,Saint Lucia,"15,937",,310,,"13,621","2,006",4,"86,187","1,676","114,913","621,450","184,911",North America,12,596,2,,,"10,848"
168,Brunei,"15,750",,98,,"15,381",271,1,"35,482",221,"697,770","1,571,958","443,886",Asia,28,"4,529",1,,,611
169,New Zealand,"14,887",+39,52,,"13,800","1,035",17,"2,976",10,"5,746,268","1,148,771","5,002,100",Australia/Oceania,336,"96,194",1,8,,207
170,Equatorial Guinea,"14,871",,177,,"13,447","1,247",1,"10,093",120,"263,190","178,636","1,473,334",Africa,99,"8,324",6,,,846
